"site_id","mean_surf_jas_slope"
"nhd_10595596",0.140801796156151
"nhd_10595598",0.0962753310966125
"nhd_10595604",0.151022865563601
"nhd_10595608",0.121844087019101
"nhd_10595614",0.123180781020456
"nhd_10595644",0.125816138630332
"nhd_10595674",0.125810240470487
"nhd_10595690",0.133682371250624
"nhd_10595748",0.132722844878849
"nhd_10595756",0.124595880701701
"nhd_10596422",0.106656145297459
"nhd_10596430",0.139337208140237
"nhd_10596440",0.153143029691938
"nhd_10596466",0.128863980997209
"nhd_10596486",0.135216218917553
"nhd_10596500",0.113686844797069
"nhd_10596502",0.133923191368982
"nhd_10596552",0.149023954617691
"nhd_10597308",0.123292668438348
"nhd_10597310",0.112804241526181
"nhd_10597314",0.0999770236201091
"nhd_10847960",0.323794905564979
"nhd_10848066",0.333202773935197
"nhd_10848220",0.34185094296705
"nhd_10848298",0.30948317263935
"nhd_10848338",0.304368508355222
"nhd_1096982",0.19589255715673
"nhd_1097222",0.178882258066494
"nhd_1097288",0.171221489461103
"nhd_1097324",0.142254770162934
"nhd_1097384",0.171588910975353
"nhd_1097480",0.177839492569835
"nhd_1098318",0.203763953489914
"nhd_1098396",0.191431472493314
"nhd_1098448",0.209470932957062
"nhd_1098568",0.186587618587564
"nhd_1098602",0.224825507425598
"nhd_1098608",0.214713090299081
"nhd_1098628",0.191801461911287
"nhd_1098714",0.191825753821814
"nhd_1098766",0.181498764339632
"nhd_1098778",0.230225977566899
"nhd_1098804",0.204494076945881
"nhd_1098836",0.207561093888526
"nhd_1098898",0.222219740612365
"nhd_1098900",0.20282633163329
"nhd_1098904",0.211962066081384
"nhd_1098928",0.1878281069083
"nhd_1098936",0.211723105814845
"nhd_1098942",0.221815040578119
"nhd_1098948",0.205746583797887
"nhd_1098950",0.205157323220861
"nhd_1098954",0.189204619127216
"nhd_1098968",0.216657107167411
"nhd_1098974",0.224967321199255
"nhd_1098990",0.243246370204683
"nhd_1098994",0.21794020869061
"nhd_1099018",0.208554936220975
"nhd_1099030",0.223231566645805
"nhd_1099038",0.204767741187275
"nhd_1099052",0.165835177890707
"nhd_1099068",0.177720129958433
"nhd_1099082",0.202318635584007
"nhd_1099102",0.208407567118006
"nhd_1099108",0.192137345550646
"nhd_1099120",0.198824255963059
"nhd_1099126",0.212147696514572
"nhd_1099136",0.169482642265759
"nhd_1099140",0.180336866029653
"nhd_1099156",0.161491369899823
"nhd_1099170",0.161145986871677
"nhd_1099172",0.17135896728902
"nhd_1099180",0.191103398240268
"nhd_1099206",0.172174935483966
